unique_id,ds,y,IR_A,IY_A,IB_A,VRY_kV,VYB_kV,VBR_kV,avg_current,current_imbalance_pct,avg_voltage,voltage_imbalance_pct,tod_sin,tod_cos,hour,minute,day_of_week,is_weekend
EP_FD03,2026-06-22 04:09:00,0.7651,46.32,45.0,48.14,11.373,11.283,11.376,46.48666666666666,3.556575362111021,11.344,0.5377291960507753,0.8849876374630419,0.4656145203251113,4.0,9.0,0.0,0.0
EP_FD03,2026-06-22 04:12:00,0.6978,37.09,36.43,37.58,11.285,11.239,11.298,37.03333333333334,1.6291629162916437,11.274000000000001,0.3104488202944841,0.8910065241883678,0.4539904997395468,4.0,12.0,0.0,0.0
EP_FD03,2026-06-22 04:15:00,0.6627,37.42,36.74,36.42,11.314,11.224,11.326,36.86,1.5192620727075483,11.288000000000002,0.5669737774628085,0.8968727415326884,0.44228869021900125,4.0,15.0,0.0,0.0
EP_FD03,2026-06-22 04:18:00,0.7342,38.21,38.33,38.62,11.286,11.115,11.291,38.38666666666666,0.6078499478985784,11.230666666666666,1.0299180814436595,0.9025852843498605,0.43051109680829525,4.0,18.0,0.0,0.0
EP_FD03,2026-06-22 04:21:00,0.7614,38.87,39.52,39.99,11.329,11.197,11.325,39.46,1.4951849974657967,11.283666666666667,0.7680718442586728,0.9081431738250813,0.41865973753742813,4.0,21.0,0.0,0.0
EP_FD03,2026-06-22 04:24:00,0.8456,38.85,39.64,40.92,11.231,11.198,11.338,39.803333333333335,2.805460179214472,11.255666666666668,0.7314834009535722,0.9135454576426009,0.4067366430758002,4.0,24.0,0.0,0.0
EP_FD03,2026-06-22 04:27:00,0.7354,39.92,37.55,40.08,11.298,11.144,11.221,39.18333333333333,4.168438962143767,11.220999999999998,0.686213349968824,0.9187912101488983,0.3947438563842672,4.0,27.0,0.0,0.0
EP_FD03,2026-06-22 04:30:00,0.8027,38.21,38.68,38.83,11.281,11.184,11.297,38.57333333333333,0.941928793639811,11.254,0.6220010662875447,0.9238795325112867,0.38268343236508984,4.0,30.0,0.0,0.0
EP_FD03,2026-06-22 04:33:00,0.8314,37.64,37.53,37.09,11.263,11.139,11.334,37.42,0.8818813468733252,11.245333333333335,0.9455774247095273,0.9288095528719241,0.3705574375098364,4.0,33.0,0.0,0.0
EP_FD03,2026-06-22 04:36:00,0.822,36.76,36.62,36.48,11.305,11.24,11.184,36.62,0.3823047515019131,11.243,0.5514542381926477,0.9335804264972017,0.3583679495453004,4.0,36.0,0.0,0.0
EP_FD03,2026-06-22 04:39:00,0.9575,38.51,36.91,38.57,11.284,11.186,11.314,37.99666666666666,2.8598999912272993,11.261333333333333,0.6689557186833978,0.9381913359224842,0.346117057077493,4.0,39.0,0.0,0.0
EP_FD03,2026-06-22 04:42:00,0.8511,45.75,44.98,45.94,11.355,11.261,11.192,45.556666666666665,1.2658227848101296,11.269333333333334,0.7601751064836715,0.9426414910921784,0.3338068592337709,4.0,42.0,0.0,0.0
EP_FD03,2026-06-22 04:45:00,0.8302,45.51,44.98,45.24,11.272,11.314,11.376,45.24333333333333,0.5894054372651567,11.320666666666666,0.48878157941228545,0.9469301294951056,0.3214394653031617,4.0,45.0,0.0,0.0
EP_FD03,2026-06-22 04:48:00,0.7751,39.01,39.23,38.68,11.344,11.171,11.214,38.97333333333333,0.7526513855627681,11.243,0.8983367428622173,0.9510565162951535,0.30901699437494745,4.0,48.0,0.0,0.0
EP_FD03,2026-06-22 04:51:00,0.807,44.27,42.89,43.35,11.336,11.233,11.188,43.50333333333333,1.762317063826541,11.252333333333334,0.7435494860325196,0.9550199444571865,0.29654157497557115,4.0,51.0,0.0,0.0
EP_FD03,2026-06-22 04:54:00,0.8109,43.98,43.69,43.25,11.28,11.176,11.214,43.63999999999999,0.8936755270393986,11.223333333333334,0.5049005049004888,0.958819734868193,0.28401534470392253,4.0,54.0,0.0,0.0
EP_FD03,2026-06-22 04:57:00,0.8181,43.32,42.18,43.81,11.322,11.154,11.265,43.10333333333333,2.142139045704119,11.247,0.8268871699119763,0.9624552364536473,0.2714404498650743,4.0,57.0,0.0,0.0
EP_FD03,2026-06-22 05:00:00,0.8964,43.64,41.59,43.95,11.295,11.239,11.212,43.06,3.413841151881093,11.248666666666665,0.41190066970901645,0.9659258262890683,0.25881904510252074,5.0,0.0,0.0,0.0
EP_FD03,2026-06-22 05:03:00,0.7891,43.79,41.6,43.19,11.296,11.208,11.203,42.85999999999999,2.9398040130657748,11.235666666666665,0.53698044916487,0.9692309097067544,0.24615329302899316,5.0,3.0,0.0,0.0
EP_FD03,2026-06-22 05:06:00,0.9374,41.23,41.48,41.58,11.313,11.125,11.176,41.43,0.4827419744146822,11.204666666666668,0.9668590468257199,0.9723699203976766,0.23344536385590547,5.0,6.0,0.0,0.0
EP_FD03,2026-06-22 05:09:00,0.8276,41.99,40.12,42.04,11.285,11.172,11.222,41.38333333333333,3.052758759565047,11.226333333333335,0.5225808367231705,0.9753423205085127,0.22069743502150108,5.0,9.0,0.0,0.0
EP_FD03,2026-06-22 05:12:00,0.749,40.43,40.73,39.11,11.174,11.229,11.2,40.089999999999996,2.444499875280611,11.200999999999999,0.24997768056423955,0.9781476007338057,0.20791169081775923,5.0,12.0,0.0,0.0
EP_FD03,2026-06-22 05:15:00,0.7617,41.07,40.71,39.78,11.313,11.236,11.246,40.52,1.8262586377097778,11.265,0.42609853528628533,0.9807852804032304,0.19509032201612833,5.0,15.0,0.0,0.0
EP_FD03,2026-06-22 05:18:00,0.8888,41.49,44.11,42.37,11.241,11.074,11.17,42.656666666666666,3.4070485269985147,11.161666666666667,0.7854263102881938,0.9832549075639545,0.18223552549214767,5.0,18.0,0.0,0.0
